Corpus;EjemploID;Búsqueda;Marca;Concordancia;DOCUMENTO;Siglo;Año;Fecha_procesada;Pais_actual;Autor_hombre_o_mujer;Autor_datos_etnicos;Tipo_textual;Como_citar;Articulo_enca;Prep_anterior;Casa;Prep_posterior;Verbo;Observaciones
CORDIAM;14;cas;v; …a / también los mandó venir a todos: <tach: los cas> laycas y vmos, cauchos y a los / vallaviças con…;;17;ca. 1633;1633;PER;hombre;;Textos cronísticos;[Año ca. 1633, Perú, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;15;cas;v;" …ar a la madre de Dios; y nunca / mas volvio a la cas (sic); del dicho Pedro; antonio Donde susedio / l…";Egido2;17;1682;1682;BOL;hombre;s/d;Documentos jurídicos;[Año 1682, Bolivia, Documentos jurídicos, CORDIAM];Interesante;a;la cas;de;movimiento;volver
CORDIAM;16;cas;v;" … al tuerto.  Mano a mano con la muerte  fueron en cas del enfermo,  y  por brindis de amistades
se lo mamó el esqueleto";JVC;17;ca. 1689;1689;PER;hombre;;Poesía;[Año ca. 1689, Perú, Poesía, CORDIAM];Válida;en;cas;de;movimiento;Es el verbo ir, lo compruebo con el documento (es muy largo como para pegar aquí)
CORDIAM;17;cas;v; … pone, y luego en un tras.  La muerte le da en un cas  con despacho tan ligero  que va siempre delanter…;;17;ca. 1689;1689;PER;hombre;;Poesía;[Año ca. 1689, Perú, Poesía, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;18;cas;v;y que aviendo salido de este pueblo un / domingo en la tarde en conpañía de la dicha Elena Angelina a dormir / en cas (sic) de la dicha María Ana por haverla sitado y…;DLNEAT72;17;1694;1694;MEX;varios;varios;Documentos jurídicos;[Año 1694, México, Documentos jurídicos, CORDIAM];Válida;en;cas;de;ambiguo;
CORDIAM;19;cas;v;respondió que con motivo a ser dia de fiesta havia /15 estado ese dia en cas e (sic) sus parientes, hasta las ocho de la / noche que vino y se halló con esa novedad.;DLNECC312;19;1812;1812;MEX;hombre;criollo;Documentos jurídicos;[Año 1812, México, Documentos jurídicos, CORDIAM];Válida;en;cas;e;estado;
CORDIAM;20;cas;v; … relata lo tomó /15 del brazo llevandolo para su cas (sic) en la hacienda de San Xavier, / mas no pudi…;DLNECC316;19;1813;1813;MEX;hombre;mestizo;Documentos jurídicos;[Año 1813, México, Documentos jurídicos, CORDIAM];Mencionable;para;cas;posesivo;movimiento;
CORDIAM;21;ca;v; …uel] / que él los guardase y tubyese como papa y ca(...) /10 de demonyos, el cual los tubo mucho tyen…;Buelna6i;16;1539;1539;MEX;hombre;español;Documentos jurídicos;[Año 1539, México, Documentos jurídicos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;22;ca;v; …peleado con vna pila en la primer[a] / <batalla a ca>ballo acabada la batalla y anduvevo (sic) a busca…;;16;1554;1554;PER;hombre;español;Documentos entre particulares: cartas y otros;[Año 1554, Perú, Documentos entre particulares: cartas y otros, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;23;ca;v; …estro señor dios por tan grandes mercedes / como ca (sic) dia me haze en darme vida para saber de / v…;;16;1566;1566;MEX;hombre;español;Documentos entre particulares: cartas y otros;[Año 1566, México, Documentos entre particulares: cartas y otros, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;24;ca;v;" …broqueles, muy galanos y para ellos bien fuertes, ca eran de palo y cuero y con latón y pluma; otras …";;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;25;ca;v; …igos, de gran riesgo y peligro para los nuestros, ca tardaron un gran rato en matar y echar fuera a lo…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;26;ca;v; …ates y batallas eran más recias y más reñidas, ca cada apellido de aquellos procuraba de hacerlo m…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;27;ca;v;" … era venido con los demás; demudóse y titubeó, ca esto es propio del delincuente por mucho que quie…";;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;28;ca;v; …al, por el daño que con el fuego podrían hacer (ca a permitir esto, no quedara español a vida) dete…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;29;ca;v; …n su súbita venida que no el daño que hicieron, ca siempre, como cristiano, pretendió el Capitán n…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;30;ca;v;" …ballos, que algún desastre le hobiese subcedido; ca si así fuera, tenían por cierto su perdimiento,…";;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;31;ca;v; …o, de muy buena gana viniera en vuestro parescer, ca yo hombre soy como vosotros y no menos deseo desc…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;32;ca;v; …donde sería muy servido, proveído y aposentado, ca se avergonzaban que tales varones como ellos no e…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;33;ca;v;" …an [a] la fee de la república por todo el mundo; ca si tal hiciesen, sus dioses se lo demandarían ma…";;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;34;ca;v; … hombres, especialmente aquellos cuatro señores, ca decían que era tiranía que uno solo los goberna…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;35;ca;v;" …mejante crueldad; y que eran de tan mal corazón (ca esta es su manera de hablar), que nunca guardaban…";;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;36;ca;v; …la que había pasado. Descansó con esto Cortés, ca iba con determinación de parar allí y hacer bar…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;37;ca;v; …ose esto por muy especial favor entre los indios, ca se maravillaron mucho de que tan gran Príncipe h…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;38;ca;v; …engo por amigos, más por muy cercanos parientes, ca mi padre me dixo, que lo oyó también al suyo, q…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;39;ca;v; …odo buen tratamiento en estos mis reinos y Corte, ca bien sé lo que hecistes en Tabasco, Tecoacinco, …;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;40;ca;v; …n y gobierno de tus reinos harán mucho al caso, ca como no habéis tenido letras ni sabéis leer, no…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;41;ca;v; …justiciero, y esto hacía por ser amado y temido, ca así de lo que sus pasados le habían dicho, como…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;42;ca;v; …so y costumbre de los otros Príncipes del mundo, ca aunque comía solo, como las más veces lo hacen …;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;43;ca;v; …a manera de juego, que es a manera de matachines, ca se subían tres hombres unos sobre otros de pies,…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;44;ca;v; …. Era milagro nascer así, por acaecer raramente, ca toda la demás gente tiene color de membrillo coc…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;45;ca;v; … por gran señor que fuese, que no le tribuctase, ca los señores y nobles le pechaban tribucto person…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;46;ca;v;" …gaban; y porque era mucho, los llamaban esclavos, ca tribuctaban dos veces; y cuando comían huevos le…";;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;47;ca;v; …enuchtitlán, que significa “tuna de piedra”, ca está compuesto de tetl, que quiere decir “pied…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;48;ca;v; …esto ha causado la demasiada libertad que tienen, ca aliende que destas aves comían la carne y vestí…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;49;ca;v;" …derredor, altos y baxos; estaban llenos de armas, ca eran casas públicas y comunes, porque los templo…";;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;50;ca;v; … comían a costa d[e] él, porque era riquísimo, ca tenía muchos pueblos para su gasto, fábrica y r…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;51;ca;v; …aunque en los oficios y advocaciones, diferentes, ca Tezcatlipucatl era dios de la providencia, y Uici…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;52;ca;v; …a, pensando el pro y contra de tan arduo negocio, ca por una parte veía que si se salía de la ciudad…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;53;ca;v; …haga así, porque no me conviene hacer otra cosa, ca de otra manera vuestros reinos se rebelarán y re…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;54;ca;v; …n tanto peligro vuestro os pongáis en prenderme, ca no es persona la mía que debe ni puede ser presa…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;55;ca;v;" … vicios o porque tienen poca semejanza con ellos; ca, como dicen los filósofos, la semejanza es causa…";;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;56;ca;v; … más aficionando, por lo bien que le parescían, ca era gente muy sabia y valiente, y también podrí…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;57;ca;v; …e con enojo se le había atrevido, fuese azotado, ca entre los españoles era más afrentoso, ser azot…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;58;ca;v; …ones y muchas muertes de los unos y de los otros, ca los suyos, en defensa de su religión, como cada …;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;59;ca;v; …mo principio, una suma causa de todas las causas, ca sumo es aquello sobre lo cual no hay otra cosa qu…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;60;ca;v; …ndéis a la memoria las palabras que os he dicho, ca espero en Dios que haciéndolo así, os alumbrar…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;61;ca;v;" …lpopoca que mandaste prender; mira lo que mandas, ca tu esclavo soy y no podré hacer otra cosa sino o…";;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;62;ca;v; …bo varones de mucho consejo y de grande esfuerzo, ca de otra manera, tan gran república no se pudiera…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;63;ca;v; …iendas de hoy en adelante de su poder y tiranía, ca como es más poderoso así de gente de guerra com…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;64;ca;v;" …r los presentes que me traéis, aunque son ricos; ca cierto tengo en más ser amigo de vuestro señor …";;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;65;ca;v; …mo por lo que del río le dixeron los españoles, ca afirmaron que del río de Grijalva hasta el de P…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;66;ca;v; …engañase el orgullo y ardimiento de la juventud, ca Cortés era muy valiente y había vencido mayores…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;67;ca;v; …emedió el peligro en que los españoles estaban, ca cierto, si hobiera dos Cacamas, no sé cómo lo p…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;68;ca;v; …atanas, que por su extrañeza eran de gran valor, ca las piezas labradas de oro y plata eran peces, av…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;69;ca;v; …or su honor como por el mío, no rescibáis pena, ca mayor es vivir entre muchos contra su voluntad y …;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;70;ca;v; …unto, pues las piedras antes vistas hieren menos, ca si algo intentaren estos indios, podremos, como a…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;71;ca;v; … largas y anchas que sean, se llamen Nuevo Mundo, ca entre otros grandes argumentos y razones que en l…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;72;ca;v;" …contento y presunción con la vista de los suyos; ca sabía que los más eran buenos caballeros e que …";;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;73;ca;v;" … quisiere, que es vuestro adelantamiento y honra; ca si estamos unánimes no hay poder en todo este nu…";;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;74;ca;v; …o porque verdaderamente los amaba y quería bien, ca jamás en ausencia ni en presencia le oyeron deci…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;75;ca;v; … dexéis vuestro Rey natural por el que no lo es, ca los dioses me vengarían cuando yo no pudiese tom…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;76;ca;v;" …e los cristianos, mi Rey e señor, me lo mandara; ca conosco que por el gran valor de tu persona se te…";;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;77;ca;v;" … hasta que vosotros o nosotros muráis o muramos; ca te hacemos saber que aunque por cada uno de vosot…";;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;78;ca;v;" …sta guerra que afrentosa paz y que no se enojase, ca tendría dos trabajos; que ellos no eran hombres …";;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;79;ca;v; …por guardar el oro que por defender sus personas, ca es cierto que muchos si no fueran cargados pudier…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;80;ca;v; …ojo (que estos todos eran en la calle de Tacuba), ca en la calle de Iztapalapa había siete. Aquí hal…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;81;ca;v; …ce Motolinea, rodeando por la parte de occidente, ca él había entrado por la de oriente en México, …;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;82;ca;v; …i serían bien rescebidos e tratados como amigos, ca es de tal condisción la fortuna, que, si abate a…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;83;ca;v; …des quexar de ti, pues no has hecho que no debas, ca si la traición {p.509} ha podido más que tu val…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;84;ca;v; …han de pretender hacer lo mismo que con nosotros, ca si los ayudáis y con vuestra ayuda nos vencen, t…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;85;ca;v; …l, se había engañado, entendiendo uno por otro, ca lo que estaba concertado y lo que los mensajeros …;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;86;ca;v; …nos señores, y con los más le aprovechó mucho, ca siempre en los ánimos generosos de cualquier nas…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;87;ca;v; …o, porque Éste lo ha de poder todo y saber todo, ca si hobiese otros, no podría sustentarse la unida…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;88;ca;v; … no hay en España otro tan dificultoso de subir, ca tiene tres leguas de subida. Pasóle seguramente,…;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;89;ca;v; …an frío que los puso en mucho trabajo y aprieto, ca los españoles lo pasaron aquella noche muy mal, …;;16;ca. 1566;1566;MEX;hombre;;Textos cronísticos;[Año ca. 1566, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;90;ca;v;" …”; y el otro era Alonso del Castillo, que agora ca con nosotros que de repente dezía qualquiera cos…";;16;ca. 1568;1568;MEX;hombre;;Textos cronísticos;[Año ca. 1568, México, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;91;ca;v; …tocto, <tach: su> muger del dicho difunto, <tach: ca> albaçeas /25 y cumplidores de su testamento, / …;;16;1586;1586;PER;hombre;indio;Documentos administrativos;[Año 1586, Perú, Documentos administrativos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;92;ca;v; …a ffecha de los / bienes de doña catalina / (...)ça ocllo, difunta\\\ cruz En la Perroquia de nuestra…;;16;1590;1590;PER;hombre;indio;Documentos administrativos;[Año 1590, Perú, Documentos administrativos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;93;ca;v; …r / para algunos señores del consejo y para suos [ca] (sic) / qu[e] es presidente el mas del tienpo i p…;;16;1592;1592;MEX;hombre;español;Documentos entre particulares: cartas y otros;[Año 1592, México, Documentos entre particulares: cartas y otros, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;94;ca;v; …iaje muy sin peligro la nauegacion / muy segura y ca teneys a vuestro hermano y hermana que en saltand…;;16;1599;1599;HON;hombre;español;Documentos entre particulares: cartas y otros;[Año 1599, Honduras, Documentos entre particulares: cartas y otros, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;95;ca;v; …  Lira es la vihuela. O como dice Plinio, lib. 9, ca. 10, cierto instrumento músico semejante a una c…;;17;1604;1604;MEX;hombre;;Prosa varia;[Año 1604, México, Prosa varia, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;96;ca;v; …ércitos d[e] ella, como lo dice Plinio (lib. 36. ca. 14). Y aunque por su grandeza y sitio y estar to…;;17;1604;1604;MEX;hombre;;Prosa varia;[Año 1604, México, Prosa varia, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;97;ca;v; …a hizo se llamaua Acahuana, pronunciada la silaba ca, en lo interior de la garganta. La tercera se lla…;;17;1604;1604;PER;hombre;;Textos cronísticos;[Año 1604, Perú, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;98;ca;v; …agrauios, y le restituyria su libertad, y reynos: ca su padre Guayna Capac le mandara al tiempo de su …;;17;1604;1604;PER;hombre;;Textos cronísticos;[Año 1604, Perú, Textos cronísticos, CORDIAM];No;NA;NA;NA;NA;
