Corpus;EjemploID;Búsqueda;DOCUMENTO;FECHA;Fecha_procesada;PROVINCIA;CONTEXTO_PRECEDENTE;FORMA;CONTEXTO_SIGUIENTE;Articulo_enca;Prep_anterior;Casa;Prep_posterior;Verbo;Observaciones
CODEA;11;ca;CODEA-0505 {h1ra:11};1248;1248;Sevilla;todos tiempos, e nenguno non sea osado de quebrantarla, nin de ir contra ella nin de menguarla en nenguna cosa,;ca;el que lo fiziesse avrié la ira de Dios e la mía, e pechar m'ie en coto mill morabedís, e;No;NA;NA;NA;NA;
CODEA;12;ca;CODEA-0649 {h1ra:17};1248;1248;Sevilla;todos tiempos, e nenguno non sea osado de quebrantarla, nin de menguarla nin de ir contra ella en nenguna cosa,;ca;aquél que lo fiziesse avrié la ira de Dios e la mia, e pechar m'ie en coto mil morabedís, e;No;NA;NA;NA;NA;
CODEA;13;ca;CODEA-1202 {h1ra:8};1248;1248;Sevilla;sea siempre firme e estable. E nenguno non sea osado de quebrantarla nin de menguarla nin de ir contra ella,;ca;aquel que lo fiziesse avrié la ira de Dios e la mía, e pechar m'ie en coto mill morabedís, e;No;NA;NA;NA;NA;
CODEA;14;ca;CODEA-1206 {h1ra:11};1248;1248;Sevilla;sea siempre firme e estable, e nenguno non sea osado de quebrantarla, nin de menguarla, nin de ir contra ella,;ca;aquel que lo fiziesse avría la ira de Dios, e la del rey e la mía, e pecharía en coto;No;NA;NA;NA;NA;
CODEA;15;ca;CODEA-1203 {h1ra:6};1250;1250;Sevilla;que nenguno non sea osado de venir contra esta mi carta, nin de quebrantarla nin de menguarla en nenguna cosa,;ca;cualquiere que lo fiziesse avrié la ira de Dios e la mía, e pechar m'ie en coto mill moravedís, e;No;NA;NA;NA;NA;
CODEA;16;ca;CODEA-0001 {h1ra:22};1251;1251;Sevilla;dos alcaldes, assí como sobredicho es. Otrossí mando que los menestrales non echen suerte en el judgado por seer juezes,;ca;el juez deve tener la seña, e tengo que si <a> afruenta viniesse o a logar de periglo e omne;No;NA;NA;NA;NA;
CODEA;17;ca;CODEA-0001 {h1ra:27};1251;1251;Sevilla;tornaría por ello. E mando que ninguno non sea osado de dar nin de tomar calças por casar so parienta,;ca;el que las tomasse pechar las ié dupladas al que gelas diesse, e pecharié cincuenta morabedís en coto, los veinte;No;NA;NA;NA;NA;
CODEA;18;ca;CODEA-0001 {h1ra:33};1251;1251;Sevilla;que ninguno non sea osado de venir contra esta mi carta nin de quebrantarla nin de menguarla en ninguna cosa,;ca;el que lo fiziesse avrié la ira de Dios e la mía, e pechar m'ié en coto mill morabedís.;No;NA;NA;NA;NA;
CODEA;19;ca;CODEA-1732 {h1ra:82};1252;1252;Sevilla;días le toviere. Otrossí mando que ningún omne non saque nin escuse a ninguno de los mios moros de pecho,;ca;el que lo fiziere a él me tornaría por ello. De los moços coronados, que pechen segunt en tiempo de;No;NA;NA;NA;NA;
CODEA;20;ca;CODEA-0471 {h1ra:26};1253;1253;Asturias?;per carta al monesterio de Belmonte vos nuncua lo demandedes nen demandedes en esta iglesa ja decha jur nen possessión,;ca;"del monesterio ye el jur ye la possessión e nós assí lo mandamos por derecho; e logo nós mandadores desuso";No;NA;NA;NA;NA;
CODEA;21;ca;CODEA-1208 {h1ra:8};1253;1253;Sevilla;sea osado de ir contra esta mi carta d'este mio donadío nin de quebrantarla nin de minguarla en ninguna cosa,;ca;cualquiere que lo fiziesse avrié mi ira, e pechar m'ie en coto mill moravedís, e a vós o a quien;No;NA;NA;NA;NA;
CODEA;22;ca;CODEA-2177 {h1ra:16};1253;1253;Toledo;carta. Demás defendémosles que nenguno d'ellos non sea osado de vender heredat a orden ni a clérigo ni a cavallero,;ca;el vendedor perderá la heredat e el comprador los dineros. E si alguno d'ellos o de su compaña o cuantos;No;NA;NA;NA;NA;
CODEA;23;ca;CODEA-0361 {h1ra:10};1254;1254;León?;cuerpo ene monesterio, e quiquier que las sos buenas eredar, delexar ena casa III iugarias de barvechos en nuestra eredat,;ca;assí lo toma, e delexar nuestra casa sana en salvo, assí como la toma. E Domingacho ie so mugier Mioro;No;NA;NA;NA;NA;
CODEA;24;ca;CODEA-0562 {h1ra:14};1255;1255;Palencia;sea osado de ir contra este mio privilegio d'este mio donadío nin de quebrantarle nin de minguarle en ninguna cosa,;ca;cualquiera que lo fiziesse avrié mi ira e pechar me ía en coto diez mill moravedís e al monesterio todo;No;NA;NA;NA;NA;
CODEA;25;ca;CODEA-0592 {h1ra:10};1255;1255;Cantabria;defiendo que ninguno non sea osado de ir contra esta carta nin de crebantarla nin de minguarla en ninguna cosa,;ca;cualquier que lo fiziesse avrié mi ira e pechar m'ie en coto mill morabedís e a ellos todo el daño;No;NA;NA;NA;NA;
CODEA;26;ca;CODEA-0494 {h1ra:3};1256;1256;Segovia;infante don Ferrando, entendiendo que todos los bienes vienen de Dios e mayormientre a los reyes e a los poderosos,;ca;los bienes de los reyes en manos de Dios son, e entendiendo la grand merced que Dios siempre fizo al;No;NA;NA;NA;NA;
CODEA;27;ca;CODEA-2102 {h1ra:12};1257;1257;Murcia;tuerto nin mal ninguno, nin vos tomen otro diezmo nin otro portadgo sinon aquello que vos deven tomar con derecho,;ca;aquel que d'otra guisa lo fiziesse, al cuerpo e a quanto que oviesse me tornaría por ello. Dada en Murcia,;No;NA;NA;NA;NA;
CODEA;28;ca;CODEA-0002 {h1ra:9};1260;1260;Córdoba;"les tomar portadgo, nin de les pendrar por ello en ningún logar, si non fuere en estos tres logares sobredichos;";ca;cualquiere que lo fiziesse avrié nuestra ira, e pechar nos ié en coto mil moravedís, e a los que el;No;NA;NA;NA;NA;
CODEA;29;ca;CODEA-0260 {h1ra:7};1260;1260;León;devandicho dixo que él non avía e la carta de la exepcución nen avía él por qué recebir los fiadores;ca;ya el plazo de la sua jurisdición yera pasado. Esto fu fecho e afrontado en León en lugar nomnado dentro;No;NA;NA;NA;NA;
CODEA;30;ca;CODEA-0828 {h1ra:9};1260;1260;Guadalajara;"que entren e que salgan; e mando que nenguno non sea osado de los fazer pesar nin tuerto nin demás,";ca;aquél que lo fiziesse al cuerpo e a todo cuanto que oviesse me tornaría por ello, e pechar m'íe en;No;NA;NA;NA;NA;
CODEA;31;ca;CODEA-0003 {h1ra:17};1262;1262;Sevilla;defendemos que ninguno non sea osado de venir contra este nuestro privilegio pora crebantarlo nin pora minguarlo en ninguna cosa,;ca;cualquier que lo fiziesse avrié nuestra ira e pechar nos ié en coto mill maravedís, e a los del concejo;No;NA;NA;NA;NA;
CODEA;32;ca;CODEA-2183 {h1ra:9};1264;1264;Sevilla;entregue estos términos, e non faga ende ál. Et ninguno non sea osado de gelo contrallar nin de gelo embargar.;Ca;cualquiere que lo fiziesse a él e a lo que oviesse me tornaría por ello. Et por que esto sea;No;NA;NA;NA;NA;
CODEA;33;ca;CODEA-1367 {h1ra:8};1268;1268;Cádiz;defiendo que nenguno de vós sea osado de les demandar portadgo nen les pasar contra esa carta en nenguna cosa,;ca;cualquier que lo fiziesse a él e a cuanto que oviesse me tornaría por ello. Dada en Xerez. El rey;No;NA;NA;NA;NA;
CODEA;34;ca;CODEA-0706 {h1ra:7};1269;1269;La Rioja;lis non fagan ninguna demanda nin ningún embargo en aquel logar nin lis passen en ninguna cosa contra su privilegio,;ca;a cualquier que lo fiziesse pesar m'ié de corazón e a él e a todo cuanto que oviesse me tornaría;No;NA;NA;NA;NA;
CODEA;35;ca;CODEA-0276 {h1ra:11};1270;1270;Valladolid;sea osado de ir contra esta mi carta d'esta mi donación nin de quebrantalla nin de menguar ende ninguna cosa,;ca;quiquier qui lo fiziere aya la ira de Dios e de Santa María e de toda la cort celestial e;No;NA;NA;NA;NA;
CODEA;36;ca;CODEA-0423 {h1ra:17};1270;1270;León;onde vos mando a cada unos de vós en vuestros logares que non les passedes a ninguna d'estas cosas sobredichas.;Ca;cualquier que lo feziesse al coerpo e cuanto que ouviesse me tornaría por ello e a ellos pecharié todo el;No;NA;NA;NA;NA;
CODEA;37;ca;CODEA-0702 {h1ra:6};1271;1271;Palencia;monesterio sobredicho, nin a sus monesterios, nin a sus casas nin en sus vassallos nin en ninguna de sus cosas,;ca;cualquier que lo fiziesse pesar m'ía e a él e a cuanto oviesse me tornaría por ello. E mando a;No;NA;NA;NA;NA;
CODEA;38;ca;CODEA-0707 {h1ra:9};1272;1272;Burgos;visavuelo, e del rey don Ferrando, mio padre. E ninguno non sea osado de gelo vedar nin de gelo contrallar,;ca;cualquier que lo fiziesse pechar m'ía en coto cient maravedís. Dada en Burgos XXVI días de octubre, era de mill;No;NA;NA;NA;NA;
CODEA;39;ca;CODEA-0044 {h1ra:7};1273;1273;Toledo;"del coro que serviessen a la eglesia, sacado ende los beneficiados todos e los ordenados de epístola o dent adelant;";ca;estos todos siempre escusaron e deven escusar sos padres, sos madres, sos avuelos, son hermanos e aquellos parientes con quien;No;NA;NA;NA;NA;
CODEA;40;ca;CODEA-0044 {h1ra:21};1273;1273;Toledo;tenémoslo por bien, e mandamos e defendemos firmemientre que ninguno non sea osado de ir contra ella en ninguna guisa,;ca;"cualquier que lo fiziesse pechar nos ie en coto mill maravedís e al cabildo sobredicho todo el daño doblado; e";No;NA;NA;NA;NA;
CODEA;41;ca;CODEA-0781 {h1ra:12};1274;1274;Burgos;contrallar nin de los embargar si non fuere por su debda coñocida o por fiadura que ellos mismos ayan fecha,;ca;cualquiere que lo fiziese pechar me íe en pena cient maravedís de la moneda nueva e al monesterio todo el;No;NA;NA;NA;NA;
CODEA;42;ca;CODEA-0045 {h1ra:19};1276;1276;Burgos;firmemient que nenguno non sea ossado de ir contra esta nuestra carta por crebantarla nin por menguarla en nenguna cosa,;ca;cualquier que lo fiziesse pecharnos ie cuatro mill maravedís en pena e al alverguería sobredicha tod el daño doblado, e;No;NA;NA;NA;NA;
CODEA;43;ca;CODEA-0580 {h1ra:33};1276;1276;Burgos;juizo, e que sea tenudo e guardado pora siempre, e defiendo que non sea nenguno osado de venir contra ello,;ca;cualquier que lo feziesse al corpo e a cuanto que oviesse me tornaría por ello. Dada en Burgos, XXVI días;No;NA;NA;NA;NA;
CODEA;44;ca;CODEA-0004 {h1ra:5};1277;1277;Burgos;E defendemos que ninguno no sea osado de ir contra este privilegio pora quebrantarlo ni pora minguarlo en ninguna cosa,;ca;cualquier que lo fiziesse avrié nuestra ira, e pechar nos ié en coto diez mill maravedís de la moneda nueva,;No;NA;NA;NA;NA;
CODEA;45;ca;CODEA-0005 {h1ra:9};1278;1278;Segovia;"los pendrar por ninguna razón, si non fuere por su debda propria o por fiadura que ellos mismos ayan fecho;";ca;cualquier que lo fiziesse pesar m'ié e pechar m'iá en coto mill maravedís de la moneda nueva alfonsí que yo;No;NA;NA;NA;NA;
CODEA;46;ca;CODEA-0047 {h1ra:7};1282;1282;Valladolid;cuarenta moços del coro sirviessen la eglesia, sacado ende los beneficiados todos e los ordenados de epístola o dende adelant.;Ca;estos todos siempre escusaron e deven escusar sus padres, e sus madres, e sus avuelos, e sus hermanos e aquellos;No;NA;NA;NA;NA;
CODEA;47;ca;CODEA-0047 {h1ra:18};1282;1282;Valladolid;toviémoslo por bien. E mandamos e defendemos firmemiente que ninguno non sea osado de ir contra ella en ninguna guisa,;ca;cualquier que lo fiziesse pechar nos ie en coto mill maravedís e al cabildo sobredicho todo el daño doblado e;No;NA;NA;NA;NA;
CODEA;48;ca;CODEA-0047 {h1ra:21};1282;1282;Valladolid;mando que vala para siempre, e defiendo firmemientre que ninguno non sea osado de ir contra ella en ninguna manera,;ca;cualquier que lo fiziesse pechar m'ie la pena que en la carta del rey mio padre se contiene e al;No;NA;NA;NA;NA;
CODEA;49;ca;CODEA-1103 {h1ra:8};1282;1282;Córdoba;sin mío mandado. E defiendo firmemientre que non sea ninguno osado de les embargar esta merced que les yo fago,;ca;cualquier que lo feziesse pechar m'íe en pena mill maravedís de la moneda nueva e a la orden sobredicha tod'el;No;NA;NA;NA;NA;
CODEA;50;ca;CODEA-1109 {h1ra:9};1282;1282;Córdoba;embargar nin de gelo contrallar esta merced que les yo fago, nin de les passar contra ella en ninguna manera,;ca;cualquier que lo fiziesse pechar m'ie en pena mill maravedís de la moneda nueva e a ellos todo el daño;No;NA;NA;NA;NA;
CODEA;51;ca;CODEA-0318 {h1ra:6};1284;1284;Toledo;non sea osado de gelo demandar nin de les pasar contra esta merced que les yo fago en ninguna manera,;ca;cualquier que lo feziese pechar me íe en pena cient maravedís de la moneda nueva e al abat e al;No;NA;NA;NA;NA;
CODEA;52;ca;CODEA-1110 {h1ra:11};1284;1284;Segovia;e nuestros derechos. E defendemos que ninguno non sea osado de les passar contra esta merced que les nós fazemos,;ca;cualquier que lo fiziesse avrié nuestra ira e pechar nos ie en coto mill maravedís de la moneda nueva e;No;NA;NA;NA;NA;
CODEA;53;ca;CODEA-1113 {h1ra:10};1284;1284;Zamora;de fiadura. E mando e defendo que nenguno non sea osado de ir contra esta merced que les yo fago,;ca;cualquier que contra ello les fuesse pechar m'ía en pena cient maravedís de la moneda nueva e al escusado todo;No;NA;NA;NA;NA;
CODEA;54;ca;CODEA-0006 {h1ra:7};1285;1285;Burgos;dize. E defendemos que ninguno non sea osado de les passar contra ellos nin de los minguar en ninguna cosa.;Ca;cualquier que lo fiziesse avrié nuestra ira e pechar nos ié la pena que dize en los privilegios que ellos;No;NA;NA;NA;NA;
CODEA;55;ca;CODEA-1111 {h1ra:7};1285;1285;Toledo;moços del coro que serviessen la eglesia, sacado ende los beneficiados todos, e los ordenados de epístola, o dent adelantre,;ca;estos todos siempre escusaron e deven escusar sus padres, e sus madres, e sus avuelos, e sus hermanos e aquellos;No;NA;NA;NA;NA;
CODEA;56;ca;CODEA-1111 {h1ra:15};1285;1285;Toledo;toviémoslo por bien, e mandamos e defendemos firmemientre que ninguno non sea osado de ir contra ella en ninguna guisa,;ca;cualquier que lo fiziesse pechar nos ie en coto mill maravedís e al cabildo sobredicho todo el daño doblado, e;No;NA;NA;NA;NA;
CODEA;57;ca;CODEA-1111 {h1ra:18};1285;1285;Toledo;mando que vala por siempre, e defiendo firmemientre que ninguno non sea osado de ir contra ella en ninguna manera,;ca;cualquier que lo fiziesse pechar m'ie la pena que en la carta del rey mio padre se contiene, e al;No;NA;NA;NA;NA;
CODEA;58;ca;CODEA-1111 {h1ra:22};1285;1285;Toledo;que vala. E defendemos que ninguno non sea osado de passar contra ella ni de la minguar en ninguna cosa,;ca;cualquier que lo fiziesse avrié nuestra ira e pechar nos ie en coto los mill maravedís sobredichos, e al deán;No;NA;NA;NA;NA;
CODEA;59;ca;CODEA-1122 {h1ra:13};1285;1285;Guadalajara;dize, e defendemos que ninguno non sea osado de ir contra él para quebrantarlo ni para minguarlo en ninguna cosa,;ca;cualquier que lo fiziesse avrié nuestra ira e pechar nos ie en coto diez mill maravedís, e al maestre e;No;NA;NA;NA;NA;
CODEA;60;ca;CODEA-1123 {h1ra:2};1285;1285;Sevilla;nin fuerça a ninguno, e cada que fallare carrera de fazer esto deve·l mucho plazer e ir por ello adelantre,;ca;cuanto mejoramiento ý faz es provechoso pora él e por los que vinieren depués d'él. Por ende nós, aviendo grand;No;NA;NA;NA;NA;
CODEA;61;ca;CODEA-1123 {h1ra:7};1285;1285;Sevilla;E defendemos que ninguno no sea osado de ir contra este privilegio pora quebrantarlo ni pora minguarlo en ninguna cosa,;ca;cualquier que lo fiziesse avrié nuestra ira e pechar nos íe en coto diez mill maravedís de la moneda nueva,;No;NA;NA;NA;NA;
CODEA;62;ca;CODEA-1124 {h1ra:7};1285;1285;Sevilla;E defendemos que ninguno non sea osado de ir contra este privilegio para quebrantarlo ni para minguarle en niguna cosa,;ca;cualquier que lo fiziesse avrié nuestra ira e pechar nos ie en coto diez mill maravedís de la moneda nueva,;No;NA;NA;NA;NA;
CODEA;63;ca;CODEA-0604 {h1ra:17};1286;1286;Palencia;Sancho otorgamos esta carta e mandamos que vala, e defendemos firmementre que ninguno non sea osado de passar contra ella,;ca;cualquier que lo fiziesse pechar me ía la pena sobredicha, e demás a él e a lo que oviesse nos;No;NA;NA;NA;NA;
CODEA;64;ca;CODEA-0716 {h1ra:20};1286;1286;Burgos;del rey don Alfonso, mio padre. E defiendo que ninguno non sea osado de ir contra ella en ninguna manera;ca;cualquier que lo fiziesse pechar m'ié la pena sobredicha. E d'esto les mandé dar esta mi carta abierta seellada con;No;NA;NA;NA;NA;
CODEA;65;ca;CODEA-0070 {h1ra:13};1288;1288;Valladolid;firmemientre que ninguno non sea osado de ir contra esta nuestra carta por quebrantarla ni por minguarla en ninguna cosa,;ca;cualquier que lo fiziesse pechar nos ie cuatro mill maravedís en pena, e al alverguería sobredicha todo el daño doblado,;No;NA;NA;NA;NA;
CODEA;66;ca;CODEA-0070 {h1ra:17};1288;1288;Valladolid;en ella dize, e defendemos que ninguno non sea osado de gela minguar ni de gela contrallar en ninguna cosa,;ca;cualquier que lo fiziesse avrié nuestra ira e pechar nos ie en coto los cuatro mill maravedís sobredichos, e a;No;NA;NA;NA;NA;
CODEA;67;ca;CODEA-0071 {h1ra:44};1288;1288;Álava;nin de minguar ninguna de todas estas cosas que sobredichas son en ningún tiempo de la nuestra vida nin depués,;ca;cualquier que lo feziesse abrié nuestra ira e pechar nos ie en coto diez mill maravedís de la moneda nueva,;No;NA;NA;NA;NA;
CODEA;68;ca;CODEA-1127 {h1ra:45};1288;1288;Álava;nin de minguar ninguna de todas estas cosas que sobredichas son en ningún tiempo de la nuestra vida nin depués,;ca;cualquier que lo fiziesse avrié nuestra ira e pechar nos ía en coto diez mill maravedís de la moneda nueva,;No;NA;NA;NA;NA;
CODEA;69;ca;CODEA-0389 {h1ra:8};1289;1289;Valladolid;e mando que valan. E defiendo firmemientre que ninguno non sea osado de los passar contra ellos en ninguna cosa,;ca;cualquier que lo fiziesse pesar m'ie e pechar m'íe en pena mill maravedís, e al abat e al convento todo;No;NA;NA;NA;NA;
CODEA;70;ca;CODEA-0859 {h1ra:7};1289;1289;Burgos;yantares ovieren de recabdar, que les non peindren nin les tomen ninguna cosa de lo suyo por razón de yantar,;ca;cualquier que lo fiziesse avríe nuestra ira e pecharnos íe en coto mill maravedís de la moneda nueva, e al;No;NA;NA;NA;NA;
CODEA;71;ca;CODEA-0074 {h1ra:8};1290;1290;Toledo;nin fuerça nin demás a ellos nin a sus omnes, nin en sus heredades nin en nenguna de sus cosas,;ca;el qui lo fiziesse avrié la mi ira e pechar me ie en coto mill maravedís, e a ellos todo;No;NA;NA;NA;NA;
CODEA;72;ca;CODEA-0074 {h1ra:14};1290;1290;Toledo;e defendemos firmemient que nenguno non sea osado de ir contra esta merced que les nós fazemos en ninguna cosa,;ca;cualquier que lo fiziesse pechar nos ie la pena de los mill maravedís sobredichos e a ellos todo el daño;No;NA;NA;NA;NA;
CODEA;73;ca;CODEA-1126 {h1ra:5};1290;1290;Valladolid;infante don Fernando, entendiendo que todos los bienes vienen de Dios e mayormientre a los reyes e a los poderosos,;ca;los bienes de los reyes en mano de Dios son, e entendiendo la grant merced que Dios siempre fizo al;No;NA;NA;NA;NA;
CODEA;74;ca;CODEA-0075 {h1ra:25};1291;1291;Burgos;de legos e de clérigos, e defendemos firmemientre que ninguno non sea osado de ir contra esto que nós mandamos,;ca;cualesquier que lo fiziessen pesar nos ie ende, e demás a los cuerpos e a lo que oviessen nos tornariemos;No;NA;NA;NA;NA;
CODEA;75;ca;CODEA-0590 {h1ra:11};1291;1291;Toledo;del emperador, e los usos e las costumbres que siempre usaron, e non les passedes contra ellos en ninguna manera,;ca;cualquier que lo fiziesse o contra este mio mandamiento fuesse pechar me ia la pena que en el privilegio dize;No;NA;NA;NA;NA;
CODEA;76;ca;CODEA-1116 {h1ra:8};1291;1291;Toledo;costringades que responda ante vós, e guardarles el privilegio del emperador, e non les passedes contra él en ninguna manera,;ca;cualquier que lo fiziesse o contra este mio mandamiento fuesse pechar me ía la pena que en el privilegio dize,;No;NA;NA;NA;NA;
CODEA;77;ca;CODEA-1117 {h1ra:14};1291;1291;Toledo;del emperador, e los usos e las costumbres que siempre usaron, e non les passedes contra ellos en ninguna manera,;ca;cualquier que lo fiziesse o contra este mio mandamiento fuesse pechar me ía la pena que en el privilegio dize;No;NA;NA;NA;NA;
CODEA;78;ca;CODEA-1107 {h1ra:6};1292;1292;Burgos;ý fuerça, nin tuerto nin otro mal ninguno, nin del ir nin del passar contra esta merced que·l nós fazemos,;ca;cualquier que lo fiziesse pechar nos ie en pena cient maravedís de la moneda nueva, e al abat e al;No;NA;NA;NA;NA;
CODEA;79;ca;CODEA-1119 {h1ra:17};1292;1292;Sevilla;nin dexedes de lo fazer por carta mía que vos muestren que contra esto sea nin por otra razón ninguna,;ca;mi voluntad es que los aya bien e complidamiente. Si non mando a los alcalles, e al alguazil de Toledo;No;NA;NA;NA;NA;
CODEA;80;ca;CODEA-1112 {h1ra:6};1293;1293;Valladolid;ninguno non sea osado de les fazer fuerça, nin torto nin demás a ellos nin a ningunas de sus cosas,;ca;cualquier que lo fiziesse pechar nos ía en pena mill maravedís de la moneda nueva e a ellos todo el;No;NA;NA;NA;NA;
CODEA;81;ca;CODEA-1121 {h1ra:8};1294;1294;Valladolid;si algunos ý avedes fechos fasta aquí que los desfagades luego en guisa que non reciban por ende ningún agraviamiento,;ca;non tenemos por bien que ningún faga las entregas en sus logares si no quien el arçobispo mandare o aquellos;No;NA;NA;NA;NA;
CODEA;82;ca;CODEA-0496 {h1ra:9};1295;1295;Valladolid;como mejor fueron guardadas en cualquier tiempo fasta aquí, tan bien en los vuestros vassallos como en las otras cosas,;ca;assí lo prometí e lo juré cuando fui recebido por rey en Toledo. E comoquier que yo di privilegios a;No;NA;NA;NA;NA;
CODEA;83;ca;CODEA-0496 {h1ra:13};1295;1295;Valladolid;e los usos e las costumbres que vos sean guardados en todo segund mejor vos fueron guardadas en cualquier tiempo.;Ca;non es mi voluntad de vos menguar ninguna cosa d'ello por carta nin por privilegio que yo aya dado, mas;No;NA;NA;NA;NA;
CODEA;84;ca;CODEA-0496 {h1ra:15};1295;1295;Valladolid;de passar contra estas cosas que vos yo otorgo por esta carta nin de vos las contrallar en ninguna manera,;ca;cualquier que lo fiziesse pecharm'ía en pena mill maravedís de la moneda nueva, e a vós, e a vuestros successores,;No;NA;NA;NA;NA;
CODEA;85;ca;CODEA-0084 {h1ra:37};1296;1296;Valladolid;"sobredicho es. E defiendo firmemiente que ninguno non sea osado de ir nin de passar contra ella en ninguna manera;";ca;cualquier que lo fiziesse pechar me ie en pena mill maravedís de la moneda nueva, e al obispo de Ávila;No;NA;NA;NA;NA;
CODEA;86;ca;CODEA-0399 {h1ra:11};1297;1297;Valladolid;regno a ellos nin a sus omnes por las cosas que ovieren de vender o de comprar pora su monesterio,;ca;qui lo fiziese avríe la mi ira e pechar me ía en coto cien moravedís e a ellos el daño;No;NA;NA;NA;NA;
CODEA;87;ca;CODEA-0399 {h1ra:25};1297;1297;Valladolid;que ninguno non sea osado de ir nin de pasar contra ella en ninguna cosa de lo que sobredicho es,;ca;cualquier que lo fiziese pechar me ía en pena mill moravedís de la nueva e al abad e al convento;No;NA;NA;NA;NA;
CODEA;88;ca;CODEA-0676 {h1ra:16};1297;1297;Valladolid;non sea osado de ir contra ninguna d'estas cosas que sobredichas son pora quebrantarlas nin pora menguarlas en ninguna cosa,;ca;cualquier que lo fiziesse avrié nuestra ira e pechar nos íe en coto mil moravedís de la moneda nueva, e;No;NA;NA;NA;NA;
CODEA;89;ca;CODEA-0676 {h1ra:24};1297;1297;Valladolid;defendemos firmemiente que ninguno non sea osado de ir contra esta carta pora quebrantarla nin pora menguarla en ninguna cosa,;ca;cualquier que lo fiziesse pechar nos ié la pena sobredicha de los mil moravedís e a la orden sobredicha o;No;NA;NA;NA;NA;
CODEA;90;ca;CODEA-0319 {h1ra:9};1298;1298;Valladolid;non sea osado de gela demandar nin de les passar contra esta mercet que les yo fago en ninguna manera,;ca;cualquier que lo fiziese pechar m'ie en pena cient maravedís de la moneda nueva e al abbat e al convento;No;NA;NA;NA;NA;
CODEA;91;ca;CODEA-0319 {h1ra:20};1298;1298;Valladolid;E defendemos que ninguno non sea osado de ir contra esta carta para quebrantarla nin para menguarla en ninguna cosa,;ca;cualquier que lo fiziesse pechar nos ía la pena sobredicha e al abbat e al convento o a quien su;No;NA;NA;NA;NA;
