ID_juntos;ID;Provincia;Enclave;COSERID;Ejemplo;Preposicion_anterior;Forma;Preposicion_de;Definitud_termino;Termino_tipo;Verbo;Observaciones;Búsqueda
11;339;Badajoz;Orellana de la Sierra;723;I2 : Que luego después, luego después ha habío muchos, muchos que si han sabío leer y escribir es porque los han puesto particular con..., con alguno que supiera. Mi marido mismo estaba yendo con el cura que vino. Ya cuando fue, que tendría catorce años y eso y iban to las noches a ca el cura y los daba clase, clase de..., de cuentas y de leer y de escribir. No, no de dotrina, no, de escribir. Pagándole pa que los enseñara porque los maestros no habían hecho ni [A-PIn: cu.] [PS]  E2 : ¿Y los niños y las, y las niñas iban separados o...?  I2 : Sí, cada uno [A-PIn: iba] a su escuela. ;a;ca;no;definido;otro;movimiento;;ca
12;342;Badajoz;Orellana de la Sierra;723;E2 : Y entonces... ¿la matanza? Eh, ustedes sacaban al, al guarro de...  I2 : L'abrían.  E2 : Lo cogían.  I1 : ¿Puedo? Que hubieran venido en el tiempo de las matanzas que lo hubiesen visto. Mata mu poca gente pero todavía se mata. [R-Inf] Se mata al guarro, se le quita la sangre y luego se le churrasca, con estas máquinas que hay se le pela y luego [HS:I2 Antes, antes era con matojos con hierbas de esas del campo.] le abren, sacan el vientre y luego sacan las costillas, quitan los jamones, sacan los lomos, por eso se van sacando a parte, el hígado y to eso. [RESPIR] Es curioso verlo, aunque yo se lo explico.  I2 : Los hombre lo apañaban mu [P-Enf: bien.] Había alguno que no, no lo han hecho, pero se dedicaban muchos hombres a ir a la matanza, a hacerlo. Mi marido le gustaba mucho y los mataba desde mu joven [RESPIR] iba anca su primo y anca su tío y... nosotros pos le matábamos [G-Mst], su marido de ella no los ha matao nunca, [V-Ljn] pero sus hermanos, que tenía cuatro hermanos y él cinco, [Rndo: los mataban tos] y los aviaba, que también tiene su gracia, ¿no?;an;ca;no;definido;parentesco;movimiento;;ca
13;343;Badajoz;Orellana de la Sierra;723;E2 : Y entonces... ¿la matanza? Eh, ustedes sacaban al, al guarro de...  I2 : L'abrían.  E2 : Lo cogían.  I1 : ¿Puedo? Que hubieran venido en el tiempo de las matanzas que lo hubiesen visto. Mata mu poca gente pero todavía se mata. [R-Inf] Se mata al guarro, se le quita la sangre y luego se le churrasca, con estas máquinas que hay se le pela y luego [HS:I2 Antes, antes era con matojos con hierbas de esas del campo.] le abren, sacan el vientre y luego sacan las costillas, quitan los jamones, sacan los lomos, por eso se van sacando a parte, el hígado y to eso. [RESPIR] Es curioso verlo, aunque yo se lo explico.  I2 : Los hombre lo apañaban mu [P-Enf: bien.] Había alguno que no, no lo han hecho, pero se dedicaban muchos hombres a ir a la matanza, a hacerlo. Mi marido le gustaba mucho y los mataba desde mu joven [RESPIR] iba anca su primo y anca su tío y... nosotros pos le matábamos [G-Mst], su marido de ella no los ha matao nunca, [V-Ljn] pero sus hermanos, que tenía cuatro hermanos y él cinco, [Rndo: los mataban tos] y los aviaba, que también tiene su gracia, ¿no?;an;ca;no;definido;parentesco;movimiento;;ca
14;282;Cáceres;Campo Lugar;1023;I1 : Y la otra, como se fueron con la otra maestra, que ella era otro, otro grado, pues ya tenía una envidia que la | eso, y de que no fueron una tarde al rosario, porque vinieron a traerla a la maestra ahí al coche de línea que iba a Zorita, a llevala, las pegó, las pegó una guantá en la cara, que las quedó marcados los | los deos las quedó marcaos en la cara. Que aquel día, aquello fuimos nosotras allá an cá de la maestra. Si es hoy, nos la comemos a la maestra o haberla denunciao, y no fue más que fuimos allá y reñimos con ella y la dijimos que cómo había pegao a nuestras hijas así en la iglesia. Eso hacían los maestros. Eso hacían los maestros.;an;ca;si;definido;otro;movimiento;;ca
15;285;Cáceres;Campo Lugar;1023;I1 : No, no. Aquí vamos a los bailes, a las cosas, a los novios.  E2 : ¿Y el cortejo cómo era? O sea, bueno, ¿frecuentaba el novio la casa?  I1 : No, no. Los novios ni las novias no iban an cá las madres, ancá la suegra. No. No eso no iban nunca. Y ya se meten allí al primer día. Se iba la gente de novios de la casa. Bueno, está ya. Llevan ustedes un buen renglón, ¿no?, conmigo.  E3 : No.  I1 : Ya está bueno.  I2 : ¿Y esto dónde lo van a publicar? ;an;ca;no;definido;parentesco;movimiento;;ca
16;340;Cáceres;Campo Lugar;1023; I1 : No, no. Aquí vamos a los bailes, a las cosas, a los novios.  E2 : ¿Y el cortejo cómo era? O sea, bueno, ¿frecuentaba el novio la casa?  I1 : No, no. Los novios ni las novias no iban en cá las madres, ancá la suegra. No. No eso no iban nunca. Y ya se meten allí al primer día. Se iba la gente de novios de la casa. Bueno, está ya. Llevan ustedes un buen renglón, ¿no?, conmigo.  E3 : No.  I1 : Ya está bueno.  I2 : ¿Y esto dónde lo van a publicar?;an;ca;no;definido;parentesco;movimiento;;ca
17;345;Castellón;La Vilavella;1319;I1 : Se principió la guerra... y un primo mío... se le ocurrió hacer un refugio en casa... cerca de las escuelas de aquí del pueblo [HS:E1 Sí.] pues hizo un refugio. Y cuando ya se acercaban las fuerzas... pues... pensab- [R-Vhc] | toda la familia... [L-Otra: perque] mi hermana y yo, yo me he criado con mis abuelos porque esa hermana que se ha | lleva conmigo veintidós meses [HS:E1 Sí.] pues esa hermana... ¿que te da... el viento? E2 : Eh... no, es para que no entre el ruido... [HS:I1 Ah.] de los coches. No se preocupe. I1 :  Pues... [R-Prt] venía a hacerme compañía a casa unos abuelos porque yo he estado... decisiete años [A-PIn: hasta que se | ] cuando empezó la guerra tenía catorce y aquí la guerra la tuvimos tres años... la guerra... [HS:E1 Claro.] y... eh... venía mi hermana a hacerme compañía a casa mis abuelos. Pero... eso es largo de contar, [A-Inn] a hacerme compañía, pero resulta que en casa mis abuelos... chiquillos que iban a la guerra de deciseis años con un fusil, y de quince se los llevaban para ir a la... guerra... y en casa mis abuelos pusieron soldados, siete u ocho soldados para dormir, y los abuelos no querían [L-Otra: diu] las | los chiquillas arriba y l-... no..., pues fuimos a ca mi madre a los dos días que estábamos a ca mis padres. ¡Anda! A en ca mis primos, a casa una hermana de mi madre, que los... | el... chico que tenían estaba en la mili. A la que estabamos allí | ponen allí y fuimos a casa un primo hermano, que era casada en una hermana de mi padre... y allí estamos... [PS] ;a;ca;no;definido;parentesco;movimiento;;ca
18;346;Castellón;La Vilavella;1319;I1 : Se principió la guerra... y un primo mío... se le ocurrió hacer un refugio en casa... cerca de las escuelas de aquí del pueblo [HS:E1 Sí.] pues hizo un refugio. Y cuando ya se acercaban las fuerzas... pues... pensab- [R-Vhc] | toda la familia... [L-Otra: perque] mi hermana y yo, yo me he criado con mis abuelos porque esa hermana que se ha | lleva conmigo veintidós meses [HS:E1 Sí.] pues esa hermana... ¿que te da... el viento? E2 : Eh... no, es para que no entre el ruido... [HS:I1 Ah.] de los coches. No se preocupe. I1 :  Pues... [R-Prt] venía a hacerme compañía a casa unos abuelos porque yo he estado... decisiete años [A-PIn: hasta que se | ] cuando empezó la guerra tenía catorce y aquí la guerra la tuvimos tres años... la guerra... [HS:E1 Claro.] y... eh... venía mi hermana a hacerme compañía a casa mis abuelos. Pero... eso es largo de contar, [A-Inn] a hacerme compañía, pero resulta que en casa mis abuelos... chiquillos que iban a la guerra de deciseis años con un fusil, y de quince se los llevaban para ir a la... guerra... y en casa mis abuelos pusieron soldados, siete u ocho soldados para dormir, y los abuelos no querían [L-Otra: diu] las | los chiquillas arriba y l-... no..., pues fuimos a ca mi madre a los dos días que estábamos a ca mis padres. ¡Anda! A en ca mis primos, a casa una hermana de mi madre, que los... | el... chico que tenían estaba en la mili. A la que estabamos allí | ponen allí y fuimos a casa un primo hermano, que era casada en una hermana de mi padre... y allí estamos... [PS] ;a;ca;no;definido;parentesco;estado;;ca
19;347;Castellón;La Vilavella;1319;"I2 : Bueno, ¡que os vaya bien!  E1 : ¡Gracias!  E4 : [L-Otra: ¡Adeu!]  I2 : [L-Otra: ¡Adeu!]  I1 : Pues... eso. Esas son sobrinas, sobrinas de una cuñada. E1 :  [Asent].  I1 :  |T13| Pero da | ha dao la casualidad de que estas niñas tienen desde pequeñitas aquí el día del... patrón. Todos los años a comer las llevan ellos. ""¡Queremos ir a ca la abuela!"" Ya tengo yo catorce y seis bisnietos y [OTRAS-EM]... Que aún tengo... Ellas: ""¡Ay la abuela... qué bien la encontramos hoy!"" [RISAS] Sí, sí. ¡Qué bien la encontramos hoy abuela! Y yo [L-Otra: dic: ""No me beseu que la abuela ja es massa viejita.""] [RISAS] Hay dos nietas más que me he encontrado.  E1 : Si ya uno más, uno menos... ¡Son tantos! I1 : Es que sus padres están los dos eh... cada uno en un sitio, pero están en sus sitios fijos pa... y no pueden dejar. Y, y, y... haz de cuenta que lo está criando... Pues [HS:I2 [HCruz: ¿Queréis Coca-cola o agua o algo?] a... él... <br><hr color='ligth blue' width=80% size=1><br><p class='provincia'>Huelva (1 resultados totales)</p><br><p class='enclave'";a;ca;no;definido;parentesco;movimiento;;ca
20;354;Castellón;La Vilavella;1319;I1 : Se principió la guerra... y un primo mío... se le ocurrió hacer un refugio en casa... cerca de las escuelas de aquí del pueblo [HS:E1 Sí.] pues hizo un refugio. Y cuando ya se acercaban las fuerzas... pues... pensab- [R-Vhc] | toda la familia... [L-Otra: perque] mi hermana y yo, yo me he criado con mis abuelos porque esa hermana que se ha | lleva conmigo veintidós meses [HS:E1 Sí.] pues esa hermana... ¿que te da... el viento? E2 : Eh... no, es para que no entre el ruido... [HS:I1 Ah.] de los coches. No se preocupe. I1 :  Pues... [R-Prt] venía a hacerme compañía a casa unos abuelos porque yo he estado... decisiete años [A-PIn: hasta que se | ] cuando empezó la guerra tenía catorce y aquí la guerra la tuvimos tres años... la guerra... [HS:E1 Claro.] y... eh... venía mi hermana a hacerme compañía a casa mis abuelos. Pero... eso es largo de contar, [A-Inn] a hacerme compañía, pero resulta que en casa mis abuelos... chiquillos que iban a la guerra de deciseis años con un fusil, y de quince se los llevaban para ir a la... guerra... y en casa mis abuelos pusieron soldados, siete u ocho soldados para dormir, y los abuelos no querían [L-Otra: diu] las | los chiquillas arriba y l-... no..., pues fuimos a ca mi madre a los dos días que estábamos a ca mis padres. ¡Anda! A en ca mis primos, a casa una hermana de mi madre, que los... | el... chico que tenían estaba en la mili. A la que estabamos allí | ponen allí y fuimos a casa un primo hermano, que era casada en una hermana de mi padre... y allí estamos... [PS] ;a en;ca;no;definido;parentesco;movimiento;;ca
21;292;Ciudad Real;Aldea del Rey;1401;" I : Y los chorizos pues igual, picábamos la carne, a eso también nos ayudaban los hombres, a picar la carne con una máquina que era a mano. Porque no está aquí, la tengo en cá mi chica si no sos la enseñaba. Es una máquina que se le da así a mano con una manivela y tiene cuchillas y cosas y pica la carne. Y la carne, pa picar la carne hay que tener más fuerzas porque pesa más picar que por ejemplo meter ya en la tripa la | y los chorizos pues igual, na más que los chorizos no se le echaba de, de guisos que dices: ""Sabes más que un chorizo que sabe a tos los guisos"". ";en;ca;no;definido;parentesco;estado;;ca
22;61;Ciudad Real;Malagón;1414; I1 : Aquí teníamos peros entonces en los árboles, que eso no está, porque las manzanas unas están dulces y otras están y el pero estaba, se le echaban peros, ¡pepinos! Los pepinos sí sabréis lo que son. Tomates, de todo lo que había de desperdicios en las casas. Y ya está.  E1 : [Asent]  I1 : Y ya está.  E1 : Pero ¿entonces antes no vendían, eh…?  I1 : Sí, cuando, ¡joder!, yo en mi casa, bueno, yo en mi casa no, pero en ca mis padres, que había apuros en el año cuarenta y seis y… antes, que había apuros, pues se vendía pa tener dinero y nos quedábamos con las cosas menudas, las morcillejas, los choricejos, los jamones, pues se vendían. Me acuerdo que una vez ven-, vendió mi padre dos jamones y uno no se le pagaron. Tú verás la necesidad que había entonces. Y así es como se hacía eso.  E1 : Y ¿qué más se sacaba del cerdo la, la manteca y eso?  I1 : La manteca se colgaba y se dejaba cuando… ;en;ca;no;definido;parentesco;estado;;ca
23;355;Córdoba;Cañete de las Torres;1517;I1 : gratis! El que no tenga dinero, ¿qué tiene ya, que morirse? porque antes decías: «Probetico no ha estudiao, va a í al campo». Pero si ahora no hay campo. E1 : |T6|¿Está muy mal el campo ahora, aquí? I1 :  Yo tuve que [A-Inn] malo con la crisis, el que viene es peó. Porque si hubiera aceituna, pues la gente coge un dinerito mu apañao, lo administraba lo mejó que pudieran, ¿no? Y comerían, pero munchos... están comiendo los niños en ca los abuelos, el otro en ca el hermano.  E1 : Claro, si hay gente que lo está pasando mal. I1 : Si queréis oriná, ahí está el baño. ;en;ca;no;definido;parentesco;estado;;ca
24;356;Córdoba;Cañete de las Torres;1517;I1 : gratis! El que no tenga dinero, ¿qué tiene ya, que morirse? porque antes decías: «Probetico no ha estudiao, va a í al campo». Pero si ahora no hay campo. E1 : |T6|¿Está muy mal el campo ahora, aquí? I1 :  Yo tuve que [A-Inn] malo con la crisis, el que viene es peó. Porque si hubiera aceituna, pues la gente coge un dinerito mu apañao, lo administraba lo mejó que pudieran, ¿no? Y comerían, pero munchos... están comiendo los niños en ca los abuelos, el otro en ca el hermano.  E1 : Claro, si hay gente que lo está pasando mal. I1 : Si queréis oriná, ahí está el baño. ;en;ca;no;definido;parentesco;estado;;ca
25;357;Córdoba;Cañete de las Torres;1517;"I1 : Porque yo, había ahí una nenilla que se paraba, y se daba un lote de besase... y digo: ""Probetica, ¡estarán disfrutando los dos!"". [Rndo: Pero], pero luego, ahora ya no lo veo con el nene, digo: ""Pero lo que s'ha llevao... lo, lo, lo tiene"" . Pero yo... eso es poco. Ay... E2 : |T14|[TOS]. ¿Y las bodas aquí cómo se hacían? I1 :  ¿Las bodas? Pues... cada uno en su casa. El novio en su casa y la novia en la suyo. Pues primero iba la gente del novio a por la novia. Salía la novia y su acompañamiento. Iba a la iglesia, se casaban, y ya se iba la novia a casa del novio. Celebraban con sus dulces y su bebida. Y la de... la novia, [R-Vcs] o sea, sí, y la de la novia a su casa pero ya sin novios y sin na. Aquello no tenía ya... chiste, porque aquí estamos comiendo pero y la novia que está en ca el novio y to, ya no... [HS:E2 Ya.] Ya no. Ahora ya como es tos juntos, en el cine... onde sea, ya tos juntos.  E1 : [Asent]. ¿Y aquí tenían cine en el pueblo también cuando usted era joven? I1 : Yo sí. Yo me casé ya mu mayó, yo me casé en un tiempo que pegaba arrimate. Me casé el veintinueve de enero. [HS:E1 [Asent].] Ahora va a hacé cuarenta y ocho años. Y cuando sale en la televisión: ""¿Doce años ya juntos?"", digo: ""¿Qué querrán estos, que cada día tenga uno? Eso de Juan y Medio, ahora no... sale, pero eso de los mayores í a buscá... ""Yo me peleé al año; yo me peleé..."". ¡Me cago en la leche, si sos ha dicho el cura que hasta que la muerte sos separe! [RISA].";en;ca;no;definido;parentesco;estado;;ca
26;83;Cuenca;Belmonte;1603; I1 : ¡A ver! Por eso m'acuerdo  E1 : ¿Se levantaban muy pronto?  I1 : Pos al ser de día... Porque yo he trabajao en mi casa. De chica fui un poco tiempo a escardar allí a, en ca un señor... una cuadrilla de chicas... a divertirnos más bien, [RISA] ¿sabes?  E1 : [Asent]  I1 : Pero luego he trabajao en mi casa.  E1 : ¿Y qué hacía con los niños cuando se tenía que ir al campo? ;en;ca;no;indefinido;otro;ambiguo;;ca
27;77;Cuenca;Cardenete;1607;" I5 : Tienes que hablar por los dos, tienes que hablar por los dos laos.  I4 : No, no, no, no, déjate, déjate, que lo malo ya viene sin pensarlo, si lo estás pensando te viene antes.  I1 : Si yo tengo a mi guacha casá y cada vez que tiene que ir en ca la suegra, ¿por qué si la mujer no se ha portao mal con ella? O ahora tener que ir a comer en ca la suegra, es que es una pesadez to el día tener que ir a comer, con lo bien que estoy aquí a gusto to el día, digo pero mujer pero qué te ha hecho la mujer, qué te ha hecho la mujer.  I4 : Y menos mal que tú le hablas bien.  I1 : Yo le digo: ""Tienes que ir a Villora porque es que es la madre de tu marido"". ";en;ca;no;definido;parentesco;movimiento;;ca
28;78;Cuenca;Cardenete;1607;" I5 : Tienes que hablar por los dos, tienes que hablar por los dos laos.  I4 : No, no, no, no, déjate, déjate, que lo malo ya viene sin pensarlo, si lo estás pensando te viene antes.  I1 : Si yo tengo a mi guacha casá y cada vez que tiene que ir en ca la suegra, ¿por qué si la mujer no se ha portao mal con ella? O ahora tener que ir a comer en ca la suegra, es que es una pesadez to el día tener que ir a comer, con lo bien que estoy aquí a gusto to el día, digo pero mujer pero qué te ha hecho la mujer, qué te ha hecho la mujer.  I4 : Y menos mal que tú le hablas bien.  I1 : Yo le digo: ""Tienes que ir a Villora porque es que es la madre de tu marido"". ";en;ca;no;definido;parentesco;ambiguo;;ca
29;90;Granada;Los Tablones (Órgiva);1834;" I2 : Ella tiene muchas historias pero a ver [HS:I1 Si tengo…]. Es que, es que… a ver.  I1 : Tengo… pues todavía me quedan dos pastillas. Que todavía me quedan dos pastillas, de las que me dio [NP], mi hija, la..., y la [NP], que trabaja en la universidad, la [NP].  E2 : ¿Ah, sí?  I1 : Sí..., esa [OTRAS-EM], pues en este mes pasao estuvo allí en ca mi hija, en su casa y dice: ""Vamos a hacer jabón"". Digo: ""Pos vamos"". Y... hace jabón. Que ese jabón es muy bueno. Dicen que hasta pa lavarse la cara, pa… lavarse | a mi marío le tenía aquí una... | bueno y lo tiene... | que le hicieron… una operación de un… | que le sa- [HS:I2 [A-Inn]], que le salió… | y le mandaron jabón de ese. Yo tengo siempre una pastillica.  E2 : ¿Y cómo lo hací-?, ¿cómo lo hacen?, ¿cómo…? ¿Con que ingredientes?  I1 : Pos con sosa..., [HS:E2 Con sosa ha dicho, sí.] [OTRAS-EM] [HS:I2 Aceite.] aceite… ";en;ca;no;definido;parentesco;estado;;ca
30;105;Guadalajara;Canredondo;1902; I1 : Yo no, no he ido con nadie, bastante… [RISA]  E1 : Claro.  E2 : Bastante tenían, ¿no?  I1 : Sí que metíamos a otros pa que nos ayudaran a segar, eso en ca mi padre, claro.  E1 : ¿A hombres o a mujeres?  I1 : A hombres.  E1 : A hombres.  I1 : Las mujeres nunca han ido [HS:E1 Nunca.] a trabajar con nadie. ;en;ca;no;definido;parentesco;estado;;ca
